id,total_a_bordo,pasajero_a_bordo,tripulantes_a_bordo,total_fallecidos,pasajeros_fallecidos,tripulantes_fallecidos,fallecidos_en_tierra
0,2,1,1,1,1,0,0
1,1,0,1,1,0,0,0
2,5,0,5,5,0,5,0
3,1,0,1,1,0,1,0
4,20,0,0,14,0,0,0
5,28,0,0,28,0,0,0
6,41,0,41,17,0,17,0
7,19,0,0,19,0,0,0
8,20,0,0,20,0,0,0
9,22,0,0,22,0,0,0
10,19,0,19,19,0,19,0
11,28,0,0,27,0,0,0
12,20,0,0,20,0,0,0
13,20,0,0,20,0,0,0
14,23,0,0,23,0,0,0
15,21,0,0,21,0,0,0
16,24,0,0,24,0,0,0
17,16,0,0,14,0,0,0
18,18,0,0,18,0,0,0
19,18,0,0,18,0,0,0
20,23,0,0,23,0,0,0
21,22,0,0,22,0,0,0
22,19,0,0,19,0,0,0
23,1,0,1,1,0,1,0
24,1,0,1,1,0,1,0
25,1,0,1,1,0,1,0
26,1,0,0,3,2,1,10
27,14,12,2,14,12,2,0
28,1,0,1,1,0,1,0
29,1,0,1,1,0,1,0
30,0,0,1,0,0,0,0
31,1,0,1,1,0,1,0
32,1,1,1,1,1,1,0
33,1,0,1,1,0,1,0
34,1,0,1,1,0,1,0
35,2,1,1,1,0,1,0
36,2,1,1,1,0,1,0
37,2,1,1,1,1,0,0
38,1,0,1,1,0,1,0
39,1,1,1,1,1,1,0
40,1,0,1,1,0,1,0
41,1,0,1,1,0,1,0
42,2,0,2,2,0,2,0
43,2,0,0,2,0,0,0
44,1,0,1,1,0,1,0
45,2,1,1,2,1,1,0
46,2,1,1,2,1,1,0
47,1,0,1,1,0,1,0
48,1,0,1,1,0,1,0
49,8,6,2,4,2,2,0
50,1,0,1,1,0,1,0
51,1,0,1,1,0,1,0
52,3,0,3,3,0,3,0
53,2,0,2,2,0,2,0
54,1,0,1,1,0,1,0
55,2,0,0,2,0,0,0
56,1,0,1,1,0,1,0
57,1,0,1,1,0,1,0
58,1,0,1,1,0,1,0
59,2,0,0,2,0,0,0
60,49,0,49,43,0,43,1
61,5,4,1,5,4,1,0
62,2,0,2,2,0,2,0
63,5,4,1,5,4,1,5
64,45,0,0,34,0,0,0
65,6,5,1,5,5,0,0
66,7,5,2,7,5,2,0
67,17,0,17,17,0,17,0
68,3,2,1,3,2,1,0
69,3,2,1,2,1,1,0
70,5,4,1,5,4,1,0
71,3,2,1,3,2,1,0
72,1,0,1,1,0,1,0
73,4,3,1,4,3,1,0
74,2,1,1,2,1,1,0
75,1,0,1,1,0,1,0
76,4,2,2,3,1,2,0
77,1,0,1,1,0,1,0
78,1,0,1,1,0,1,0
79,1,0,1,1,0,1,0
80,6,4,2,6,4,2,0
81,11,9,2,1,1,0,0
82,2,1,1,2,1,1,0
83,1,0,1,1,0,1,0
84,5,3,2,5,3,2,0
85,5,2,3,3,1,2,0
86,1,0,1,1,0,1,0
87,52,0,0,52,0,0,0
88,1,0,1,1,0,1,0
89,1,0,1,1,0,1,0
90,3,2,1,3,2,1,0
91,5,3,2,5,3,2,0
92,1,0,1,1,0,1,0
93,1,0,1,1,0,1,0
94,1,0,1,1,0,1,0
95,8,7,1,8,7,1,0
96,5,3,2,5,3,2,0
97,3,1,2,3,1,2,0
98,4,3,1,4,3,1,0
99,2,0,2,2,0,2,0
100,1,0,1,1,0,1,0
101,1,0,1,1,0,1,0
102,43,0,43,14,0,14,0
103,1,0,0,0,0,0,0
104,1,0,1,1,0,1,0
105,1,0,1,1,0,1,0
106,2,0,0,2,0,0,0
107,1,0,1,1,0,1,0
108,1,0,1,1,0,1,0
109,1,0,1,1,0,1,0
110,6,4,2,6,4,2,0
111,2,1,1,2,1,1,0
112,5,4,1,5,4,1,0
113,15,13,2,3,2,1,0
114,5,4,1,2,2,0,0
115,7,5,2,7,5,2,0
116,4,3,1,4,3,1,0
117,12,10,2,0,0,0,0
118,3,3,0,3,3,0,0
119,1,0,1,1,0,1,0
120,0,0,2,0,0,2,0
121,1,0,1,1,0,1,0
122,3,2,1,3,2,1,0
123,1,0,1,1,0,1,0
124,2,1,1,2,1,1,0
125,1,0,1,1,0,1,0
126,3,0,3,1,0,1,0
127,5,3,2,5,3,2,0
128,11,9,2,1,0,1,0
129,1,0,1,1,0,1,0
130,12,11,1,7,6,1,0
131,3,1,2,3,1,2,0
132,6,4,2,6,4,2,0
133,2,0,2,2,0,2,0
134,4,3,1,4,3,1,0
135,1,0,1,1,0,1,0
136,6,4,2,6,4,2,0
137,1,0,1,1,0,1,0
138,1,0,1,1,0,1,0
139,5,0,5,5,0,5,0
140,3,1,2,3,1,2,0
141,2,0,2,2,0,2,0
142,1,0,1,1,0,1,0
143,2,0,2,2,0,2,0
144,1,0,1,1,0,1,0
145,2,1,1,1,1,0,0
146,2,0,2,2,0,2,0
147,2,1,1,1,1,0,0
148,9,7,2,9,7,2,0
149,5,3,2,1,1,0,0
150,2,0,2,2,0,2,0
151,5,4,1,3,2,1,0
152,5,4,1,5,4,1,0
153,1,0,1,1,0,1,0
154,6,4,2,6,4,2,0
155,6,5,1,4,4,0,0
156,6,5,1,1,1,0,0
157,7,5,2,7,5,2,0
158,5,2,3,5,2,3,0
159,2,0,2,1,0,1,0
160,7,6,1,7,6,1,0
161,3,2,1,3,2,1,0
162,3,2,1,3,2,1,0
163,1,0,1,1,0,1,0
164,2,1,1,1,0,1,0
165,3,0,3,1,0,1,0
166,3,2,1,3,2,1,0
167,1,0,1,1,0,1,0
168,1,0,1,1,0,1,0
169,5,4,1,5,4,1,0
170,14,9,5,14,9,5,0
171,5,3,2,5,3,2,0
172,4,1,3,3,0,3,0
173,1,0,1,1,0,1,0
174,4,3,1,4,3,1,0
175,3,2,1,2,2,0,0
176,1,0,1,1,0,1,0
177,1,0,1,1,0,1,0
178,9,7,2,2,7,2,0
179,2,0,2,2,0,2,0
180,1,0,1,1,0,1,0
181,15,13,2,14,13,1,0
182,4,3,1,4,3,1,0
183,6,3,3,6,3,3,0
184,5,4,1,5,4,1,0
185,2,0,2,2,0,2,0
186,6,3,3,4,3,2,0
187,5,1,4,2,1,1,0
188,2,0,2,1,0,1,0
189,13,11,2,7,7,0,0
190,8,6,2,1,0,1,0
191,5,4,1,5,4,1,0
192,1,0,1,1,0,1,0
193,4,2,2,4,2,2,0
194,1,0,1,1,0,1,0
195,5,4,1,4,3,1,0
196,2,0,2,1,0,1,0
197,8,5,3,8,5,3,0
198,5,2,3,3,1,2,0
199,6,4,2,6,4,2,0
200,6,5,1,6,5,1,0
201,1,0,1,1,0,1,0
202,5,3,2,5,3,2,0
203,2,0,2,1,0,1,0
204,7,5,2,7,5,2,0
205,1,0,1,1,0,1,0
206,2,0,2,2,0,2,0
207,4,3,1,4,3,1,0
208,8,4,4,7,3,4,0
209,3,0,3,3,0,3,0
210,12,9,3,1,1,0,0
211,1,0,1,1,0,1,0
212,1,0,1,1,0,1,0
213,3,0,2,2,0,2,0
214,5,3,2,5,3,2,0
215,1,0,1,1,0,1,0
216,3,0,3,3,0,3,0
217,16,14,2,16,14,2,0
218,2,0,2,2,0,2,0
219,5,4,1,5,4,1,0
220,1,0,1,1,0,1,0
221,6,3,3,2,2,0,0
222,4,3,1,4,3,1,0
223,4,2,2,3,1,2,0
224,15,13,2,1,1,0,0
225,8,5,3,5,4,1,0
226,5,4,1,5,4,1,0
227,6,4,2,6,4,2,0
228,11,10,1,10,9,1,0
229,2,0,2,2,0,2,0
230,3,2,1,3,2,1,0
231,54,0,0,48,0,0,0
232,8,6,2,8,6,2,0
233,4,3,1,4,3,1,0
234,3,2,1,3,2,1,0
235,3,2,1,3,2,1,0
236,6,3,3,3,2,1,0
237,1,0,1,1,0,1,0
238,9,8,1,1,1,0,0
239,3,0,3,3,0,3,0
240,6,4,2,4,2,2,0
241,2,0,2,2,0,2,0
242,1,0,1,1,0,1,0
243,3,2,1,3,2,1,0
244,3,2,1,2,2,0,0
245,3,0,3,1,0,1,0
246,8,6,2,8,6,2,0
247,8,6,2,8,6,2,0
248,10,7,3,2,0,2,0
249,2,0,2,2,0,2,0
250,1,0,1,1,0,1,0
251,1,0,1,1,0,1,0
252,4,0,4,4,0,4,0
253,3,1,2,2,0,2,0
254,4,2,2,4,2,2,0
255,2,0,2,2,0,2,0
256,2,0,2,2,0,2,0
257,1,0,1,1,0,1,0
258,7,5,2,7,5,2,0
259,6,4,2,6,4,2,0
260,1,0,1,1,0,1,0
261,6,4,2,6,4,2,0
262,4,3,1,4,3,1,0
263,3,0,3,3,0,3,0
264,3,0,3,3,0,3,0
265,5,4,1,5,4,1,0
266,3,2,1,3,2,1,0
267,1,0,1,1,0,1,0
268,3,1,2,3,1,2,0
269,1,0,1,1,0,1,0
270,6,5,1,2,2,0,0
271,7,3,4,5,2,3,0
272,2,0,2,2,0,2,0
273,5,4,1,4,4,0,0
274,1,0,1,1,0,1,0
275,8,7,1,8,7,1,0
276,5,4,1,5,4,1,0
277,2,0,2,1,0,1,0
278,1,0,1,1,0,1,0
279,3,0,3,3,0,3,0
280,5,0,5,3,0,3,0
281,7,5,2,7,5,2,0
282,1,0,1,1,0,1,0
283,3,1,2,3,1,2,0
284,1,0,1,1,0,1,0
285,1,0,1,1,0,1,0
286,3,2,1,3,2,1,0
287,2,0,2,1,0,1,0
288,9,6,3,9,6,3,0
289,7,3,4,0,0,0,0
290,2,0,2,2,0,2,0
291,4,2,2,3,1,2,0
292,2,0,2,1,0,1,0
293,3,2,1,3,2,1,0
294,1,0,1,1,0,1,0
295,2,0,2,2,0,2,0
296,2,0,2,2,0,2,0
297,5,3,2,5,3,2,0
298,2,1,1,2,1,1,0
299,2,0,2,2,0,2,0
300,1,0,1,1,0,1,0
301,1,0,1,1,0,1,0
302,3,0,3,1,0,1,0
303,2,0,2,2,0,2,0
304,1,0,1,1,0,1,0
305,1,0,1,1,0,1,0
306,3,1,2,2,0,2,0
307,2,0,2,2,0,2,0
308,3,2,1,3,2,1,11
309,15,12,3,15,12,3,0
310,2,1,1,1,1,0,0
311,76,0,0,73,0,0,0
312,8,5,3,5,2,3,0
313,4,2,2,4,2,2,0
314,6,3,3,6,3,3,0
315,1,0,1,1,0,1,0
316,9,7,2,9,7,2,0
317,6,2,4,6,2,4,0
318,5,3,2,5,3,2,0
319,8,6,2,8,6,2,0
